Region,Local Authority (LA),LA No.,Institution Name,Category,UKPRN,UPIN,Total Students,High Needs Students (included in Total Students),Total Programme Funding (£),Disadvantage Funding (£) (included in Total Programme Funding),Total No. students not meeting the Condition of Funding (2017/18 data),Actual Condition of Funding adjustment in 2019/20 (£) (after mitigation),High Needs Element 2 Funding (£),Total Student Financial Support Funding (£),Discretionary Bursary Funding (£) (included in Total Student Financial Support Funding),Free Meals Funding (£) (included in Total Student Financial Support Funding),Industry Placements: Capacity and Delivery Funding (£),Advanced Maths Premium Funding (£),Alternative Completions Funding (£),Total Funding Allocation (£)
EM,Nottingham,892,Access Training (East Midlands) Ltd,Independent Learning Provider,10010584,117783,83,0,"285,559","63,161",8,"-6,922",0,"19,992","18,923","1,069",0,0,0,"298,629"
NW,Lancashire,888,Accrington Academy,Academy,10024152,118597,212,0,"1,018,827","133,992",3,0,0,"29,156","29,156",0,0,"4,800",0,"1,052,783"
NW,Lancashire,888,Accrington St Christopher's Church of England High School,Academy,10035196,120359,288,22,"1,210,540","70,095",8,0,"132,000","73,809","73,809",0,0,"6,600",0,"1,422,948"
SE,Oxfordshire,931,ACE Training and Consultancy Ltd,Independent Learning Provider,10034055,120015,89,0,"397,612","65,424",8,"-8,942",0,"20,477","20,055",422,0,0,0,"409,148"
GL,Camden,202,Acland Burghley School,School Sixth Form,10000101,113861,226,0,"1,228,933","102,032",0,0,0,"35,728","35,728",0,0,"4,800",0,"1,269,461"
EM,Derbyshire,830,Acorn Training Consultants Limited,Independent Learning Provider,10000108,105353,800,0,"2,876,821","553,503",19,0,0,"220,300","188,212","32,088",0,0,0,"3,097,121"
NW,Knowsley,340,Activate Community and Education Services,Special Post-16 Institution,10019237,124167,61,61,"320,971","68,167",1,0,"366,000","18,316","5,672","12,644",0,0,0,"705,287"
SE,Oxfordshire,931,Activate Learning,General FE and Tertiary,10004927,116105,"8,328",568,"40,123,622","3,951,086",186,0,"3,408,000","1,046,199","799,272","166,222","832,750",0,"32,500","45,443,071"
GL,Haringey,309,ADA National College for Digital Skills,General FE and Tertiary,10057981,134707,131,5,"805,135","57,716",1,0,"30,000","18,120","14,074","4,046",0,"24,600",0,"877,856"
NW,Cheshire East,895,Adelaide School,Academy Special,10044264,129409,10,10,0,0,0,0,"100,000","1,073","1,073",0,0,0,0,"101,073"
EE,Hertfordshire,919,Adeyfield School,Academy,10066611,140143,68,0,"305,122","17,998",2,0,0,"5,417","5,417",0,0,0,0,"310,538"
SE,Reading,870,ADVIZA PARTNERSHIP,Independent Learning Provider,10028942,119456,0,0,0,0,0,0,0,"3,579","1,724","1,855",0,0,0,"3,579"
EM,Lincolnshire,925,AEGIR - A Specialist Academy,Academy Special,10053087,132034,37,37,0,0,0,0,"370,000","3,969","3,969",0,0,0,0,"373,969"
GL,Enfield,308,AIM Academy North Lane ,Academy,10084305,162392,77,0,"457,449","77,569",9,"-9,668",0,"16,946","16,946",0,0,"7,200",0,"471,927"
YH,Wakefield,384,Airedale Academy,Academy,10033306,119563,49,0,"238,530","34,245",1,0,0,"5,257","5,257",0,0,0,0,"243,786"
WM,Warwickshire,937,Alcester Grammar School,Academy,10033336,119579,495,1,"1,987,474","11,942",0,0,"6,000","26,036","26,036",0,0,0,0,"2,019,510"
NW,Lancashire,888,Alder Grange Community and Technology School,School Sixth Form,10014787,119179,140,0,"567,131","35,490",1,0,0,"24,615","24,615",0,0,0,0,"591,746"
WM,Solihull,334,Alderbrook School,Academy,10034629,119994,180,0,"726,800","6,000",0,0,0,"19,310","19,310",0,0,"19,200",0,"765,310"
EM,Derbyshire,830,Aldercar Community Language College,School Sixth Form,10014980,118227,88,0,"375,636","31,865",2,0,0,"10,358","10,358",0,0,0,0,"385,994"
EM,Nottinghamshire,891,Alderman White School,Academy,10039026,122717,120,0,"497,802","17,772",3,0,0,"12,974","12,974",0,0,0,0,"510,776"
WM,Wolverhampton,336,Aldersley High School,Academy,10040003,122992,115,0,"521,626","51,653",1,0,0,"20,336","20,336",0,0,0,0,"541,962"
WM,Walsall,335,Aldridge School - A Science College,Academy,10036935,121205,193,0,"822,233","36,570",0,0,0,"16,978","16,978",0,0,"6,000",0,"845,211"
NW,Salford,355,AldridgeUTC@MediaCityUK,University Technical College,10081054,141375,160,0,"655,522","42,662",0,0,0,"17,165","17,165",0,0,0,0,"672,687"
GL,Ealing,307,Alec Reed Academy,Academy,10015574,118409,205,3,"1,004,677","104,418",4,0,"18,000","27,057","27,057",0,0,"11,400",0,"1,061,133"
GL,Haringey,309,Alexandra Park School,Academy,10034567,120567,544,0,"2,755,256","118,742",0,0,0,"54,405","54,405",0,0,"39,600",0,"2,849,261"
SE,Buckinghamshire,825,Alfriston School,Academy Special,10036322,120753,30,30,0,0,0,0,"300,000","3,218","3,218",0,0,0,0,"303,218"
NW,Cheshire East,895,All Hallows Catholic College,Academy,10040002,123111,186,2,"740,233","11,238",0,0,"12,000","10,443","10,443",0,0,0,0,"762,676"
SE,Surrey,936,All Hallows Catholic School,School Sixth Form,10000215,113315,222,0,"1,002,342","16,516",17,"-13,290",0,"9,818","9,818",0,0,600,0,"999,469"
EE,Central Bedfordshire,823,All Saints Academy Dunstable,Academy,10027758,119040,69,0,"302,276","18,443",0,0,0,"6,374","6,374",0,0,0,0,"308,650"
SW,Gloucestershire,916,"All Saints' Academy, Cheltenham",Academy,10029934,119150,193,0,"830,683","92,147",7,0,0,"20,705","20,705",0,0,"2,400",0,"853,788"
NW,Knowsley,340,All Saints Catholic Centre For Learning (VA),School Sixth Form,10027911,118881,75,0,"362,303","70,251",19,"-30,221",0,"14,901","14,901",0,0,0,0,"346,982"
YH,Sheffield,373,All Saints' Catholic High School,Academy,10037590,121197,380,0,"1,605,261","92,758",0,0,0,"27,585","27,585",0,0,0,0,"1,632,846"
GL,Barking and Dagenham,301,All Saints Catholic School and Technology College,School Sixth Form,10000222,114136,245,0,"1,218,321","118,413",0,0,0,"25,050","25,050",0,0,"2,400",0,"1,245,771"
EM,Nottinghamshire,891,All Saints Catholic Voluntary Academy,Academy,10045639,129891,125,0,"518,503","30,553",0,0,0,"10,359","10,359",0,0,0,0,"528,862"
YH,York,816,All Saints RC School,School Sixth Form,10000225,113393,433,0,"1,700,439","34,994",0,0,0,"25,962","25,962",0,0,0,0,"1,726,401"
YH,Leeds,383,Allerton Grange School,School Sixth Form,10000230,114518,199,0,"938,849","142,060",0,0,0,"26,591","26,591",0,0,0,0,"965,440"
YH,Leeds,383,Allerton High School,School Sixth Form,10000231,114519,314,0,"1,320,539","71,863",5,0,0,"48,611","48,611",0,0,"8,400",0,"1,377,549"
EM,Derby,831,Allestree Woodlands School,Academy,10036749,121014,245,0,"995,198","20,277",6,0,0,"12,572","12,572",0,0,0,0,"1,007,770"
WM,Staffordshire,860,Alleyne's Academy,Academy,10043053,123084,158,1,"633,581","6,000",0,0,"6,000","12,675","12,675",0,0,0,0,"652,256"
EE,Essex,881,ALM Training Service Ltd,Independent Learning Provider,10010631,130437,23,0,"116,218","26,902",3,"-4,485",0,"2,467","2,467",0,0,0,0,"114,201"
GL,Brent,304,Alperton Community School,Academy,10038632,122325,290,0,"1,403,714","78,290",1,0,0,"33,851","33,851",0,0,0,0,"1,437,565"
NW,Cheshire East,895,Alsager School,Academy,10043054,124251,217,0,"863,392","17,430",0,0,0,"12,558","12,558",0,0,0,0,"875,950"
NW,Liverpool,341,Alsop High School Technology & Applied Learning Specialist College,School Sixth Form,10000250,113460,297,0,"1,601,889","315,624",5,0,0,"62,892","62,892",0,0,0,0,"1,664,782"
NW,Trafford,358,Altrincham College,Academy,10038678,122124,102,0,"417,550","21,749",13,"-14,800",0,"10,943","10,943",0,0,"8,400",0,"422,092"
NW,Trafford,358,Altrincham Grammar School for Boys,Academy,10032963,119511,336,0,"1,363,886","6,663",0,0,0,"14,499","14,499",0,0,0,0,"1,378,385"
NW,Trafford,358,Altrincham Grammar School for Girls,Academy,10035168,120289,353,0,"1,432,405","11,231",0,0,0,"16,558","16,558",0,0,0,0,"1,448,962"
SE,Windsor and Maidenhead,868,Altwood CofE Secondary School,Academy,10037631,122326,163,0,"741,876","24,678",4,0,0,"11,400","11,400",0,0,"1,200",0,"754,476"
GL,Haringey,309,Ambitious College,Special Post-16 Institution,10048265,132081,81,81,"497,810","90,516",0,0,"486,000","4,803","3,900",904,0,0,0,"988,613"
SE,Buckinghamshire,825,Amersham School,Academy,10035121,120372,126,9,"543,811","6,000",0,0,"54,000","7,889","7,889",0,0,0,0,"605,700"
EE,Essex,881,Anglo European School,Academy,10035817,120813,333,0,"1,469,148","30,315",8,0,0,"14,964","14,964",0,0,0,0,"1,484,113"
EM,Derbyshire,830,Anthony Gell School,School Sixth Form,10000308,113250,118,0,"475,598","6,000",0,0,0,"7,490","7,490",0,0,"1,200",0,"484,288"
SE,Hampshire,850,Apcymru Ltd,Independent Learning Provider,10000311,118496,"1,123",0,"4,143,014","756,067",37,0,0,"387,451","181,353","206,098",0,0,0,"4,530,465"
NW,Cumbria,909,Appleby Grammar School,Academy,10034596,120251,56,2,"231,264","11,228",2,0,"12,000","5,427","5,427",0,0,0,0,"248,691"
NW,Stockport,356,Aquinas College,Sixth Form College,10000330,108372,"2,243",50,"9,006,457","441,731",12,0,"300,000","234,348","170,031","64,317",0,"103,800",0,"9,644,605"
SE,Slough,871,Arbour Vale School,Academy Special,10067073,140669,34,34,0,0,0,0,"340,000","3,648","3,648",0,0,0,0,"343,648"
NW,Liverpool,341,Archbishop Beck Catholic Sports College,School Sixth Form,10000339,113462,299,0,"1,378,860","220,313",4,0,0,"45,861","45,861",0,0,0,0,"1,424,721"
NW,Liverpool,341,"Archbishop Blanch Cofe Va High School, A Technology College and Training School",School Sixth Form,10000340,113463,137,0,"616,341","69,168",1,0,0,"13,746","13,746",0,0,0,0,"630,087"
YH,York,816,"Archbishop Holgate's School, A Church of England Academy",Academy,10033331,119523,267,5,"1,116,679","30,723",2,0,"30,000","13,542","13,542",0,0,"2,400",0,"1,162,621"
